model	method	turn_2	turn_3	turn_4	turn_5	average
o4-mini	Ours	81.63	83.61	85.88	84.49	83.9
o4-mini	Baseline	74.81	73.57	76.49	80.07	76.24
gpt41	Ours	79.01	84.66	83.38	79.79	81.71
gpt41	Baseline	72.95	73.83	74.57	79.22	75.14
gemini-2.0-flash	Ours	75.45	83.65	84.25	80.65	81
gemini-2.0-flash	Baseline	77.18	74.18	74.62	78.87	76.21
gpt-4o-mini	Ours	74.96	81.91	83.22	79.54	79.91
gpt-4o-mini	Baseline	70.25	70.48	72.59	74.82	72.04
llama3-sft	Ours	82.32	84.82	85.74	84.84	84.43
llama3-sft	RMA	74.72	79.87	83.83	84.61	80.76
llama3-sft	Baseline	80.15	72.89	75.97	79.5	77.13
phi-4-sft	Ours	78.29	84.72	85.07	84.22	83.08
phi-4-sft	RMA	79.01	83.92	83.59	82.58	82.28
phi-4-sft	Baseline	74.71	73.83	75.17	80.27	76
qwen2.5-3b	Ours	80.1	83.54	84.81	82.03	82.62
qwen2.5-3b	RMA	72.72	78.25	82.6	82.24	78.95
qwen2.5-3b	Baseline	73.24	69.88	72.46	74.71	72.57
qwen3-4b	Ours	81.27	84.11	83.37	81.74	82.62
qwen3-4b	RMA	77.72	81.08	83.82	83.32	81.49
qwen3-4b	Baseline	73.65	72.92	74.34	79.12	75.01